,Y_hat,Y
0,82.045975,79.0
1,93.30282,100.0
2,78.71532,80.0
3,84.348366,93.0
4,100.895004,118.0
5,105.40989,101.0
6,100.55549,96.0
7,87.26751,76.0
8,97.90983,93.0
9,107.68638,120.0
10,80.317795,66.0
11,107.60447,110.0
12,97.96897,114.0
13,124.04383,127.0
14,99.96314,93.0
15,100.39338,101.0
16,95.65241,93.0
17,105.4314,103.0
18,122.53841,125.0
19,97.84701,74.0
20,108.767845,102.0
21,91.602425,89.0
22,108.21896,100.0
23,89.18981,79.0
24,82.449,79.0
25,116.47461,105.0
26,104.74298,99.0
27,103.24503,102.0
28,84.471504,85.0
29,93.077415,102.0
30,108.43381,103.0
31,96.60757,104.0
32,103.06447,104.0
33,82.06709,74.0
34,102.93135,82.0
35,100.35698,110.0
36,113.784615,114.0
37,98.10047,89.0
38,90.166466,93.0
39,107.15531,104.0
40,81.05518,80.0
41,82.00109,91.0
42,122.06619,128.0
43,98.40148,93.0
44,121.468666,110.0
45,122.41035,130.0
46,94.4631,90.0
47,100.73992,73.0
48,98.37777,97.0
49,87.63717,67.0
50,105.30428,101.0
51,107.783295,104.0
52,95.23629,89.0
53,77.08841,77.0
54,81.22613,79.0
55,102.22435,96.0
56,93.08353,87.0
57,105.7029,115.0
58,82.49682,81.0
59,97.90525,104.0
60,75.7604,69.0
61,89.858345,81.0
62,99.668785,99.0
63,109.19334,101.0
64,107.08171,86.0
65,109.154976,82.0
66,100.83849,86.0
67,97.51695,107.0
68,83.29695,85.0
69,93.99256,83.0
70,88.824425,115.0
71,78.25363,101.0
72,108.20037,79.0
73,77.19009,93.0
74,86.13271,91.0
75,92.5472,79.0
76,90.3107,90.0
77,89.45115,85.0
78,112.75114,124.0
