,Y_hat,Y
0,82.56225,79.0
1,84.21705,100.0
2,81.80164,80.0
3,81.53225,93.0
4,102.33463,118.0
5,103.873344,101.0
6,95.77662,96.0
7,89.61151,76.0
8,101.72134,93.0
9,98.97142,120.0
10,72.40457,66.0
11,97.19352,110.0
12,93.24455,114.0
13,118.70108,127.0
14,91.829,93.0
15,98.63416,101.0
16,102.388466,93.0
17,101.794205,103.0
18,117.66282,125.0
19,99.58298,74.0
20,110.22129,102.0
21,84.07607,89.0
22,104.91974,100.0
23,89.696396,79.0
24,75.653435,79.0
25,114.438545,105.0
26,95.66118,99.0
27,93.25376,102.0
28,83.277885,85.0
29,92.17774,102.0
30,100.17397,103.0
31,97.92641,104.0
32,93.96331,104.0
33,83.45855,74.0
34,96.8845,82.0
35,95.386475,110.0
36,115.85264,114.0
37,96.604485,89.0
38,98.48371,93.0
39,101.896904,104.0
40,89.60407,80.0
41,85.09339,91.0
42,104.93695,128.0
43,95.03504,93.0
44,113.15512,110.0
45,113.812584,130.0
46,101.01023,90.0
47,100.44909,73.0
48,97.73145,97.0
49,92.06196,67.0
50,106.559074,101.0
51,106.27614,104.0
52,94.83767,89.0
53,82.06148,77.0
54,74.39803,79.0
55,86.77465,96.0
56,87.9573,87.0
57,105.54366,115.0
58,78.361015,81.0
59,94.87884,104.0
60,80.975525,69.0
61,90.95177,81.0
62,93.69276,99.0
63,99.58875,101.0
64,109.26522,86.0
65,100.033226,82.0
66,98.42019,86.0
67,95.17628,107.0
68,88.89714,85.0
69,107.06403,83.0
70,96.87806,115.0
71,84.88043,101.0
72,100.51345,79.0
73,83.493546,93.0
74,92.17405,91.0
75,96.73229,79.0
76,92.673546,90.0
77,99.02916,85.0
78,108.76122,124.0
